"ID","gene","GO_id"
"490","GRMZM2G364901","GO:0000166"
"491","GRMZM2G364901","GO:0005739"
"492","GRMZM2G350621","GO:0005622"
"493","GRMZM2G123876","GO:0000166"
"494","GRMZM2G171595","GO:0005886"
"495","GRMZM2G015419","GO:0034440"
"496","GRMZM2G015419","GO:0031408"
"497","GRMZM2G015419","GO:0016165"
"498","GRMZM2G015419","GO:0005515"
"499","GRMZM2G015419","GO:0005506"
"500","GRMZM2G015418","GO:0005737"
"501","GRMZM2G015418","GO:0004427"
"502","GRMZM2G359505","GO:0005515"
"503","GRMZM2G308351","GO:0000166"
"504","GRMZM2G061897","GO:0005622"
"505","AC205122.4_FG005","GO:0005515"
"506","AC205122.4_FG003","GO:0005515"
"507","GRMZM2G156422","GO:0005794"
"508","GRMZM2G156422","GO:0016021"
"509","GRMZM2G156422","GO:0005802"
"510","GRMZM2G156422","GO:0005768"
"511","AC205122.4_FG009","GO:0005515"
"512","GRMZM2G125151","GO:0005524"
"513","GRMZM2G125151","GO:0000166"
"514","GRMZM2G016997","GO:0006349"
"515","GRMZM2G016997","GO:0000082"
"516","GRMZM2G016997","GO:0051783"
"517","GRMZM2G016997","GO:0032875"
"518","GRMZM2G016997","GO:0005634"
"519","GRMZM2G016997","GO:0005829"
"520","GRMZM2G114093","GO:0005524"
"521","GRMZM2G064541","GO:0006355"
"522","GRMZM2G048131","GO:0005634"
"523","GRMZM2G048131","GO:0006355"
"524","GRMZM2G155417","GO:0005634"
"525","GRMZM2G399048","GO:0005795"
"526","GRMZM2G399048","GO:0016740"
"527","AC198403.3_FG001","GO:0006355"
"528","AC198403.3_FG001","GO:0005634"
"529","GRMZM2G438722","GO:0005794"
"530","GRMZM2G438722","GO:0005802"
"531","GRMZM2G438722","GO:0005515"
"532","GRMZM2G438722","GO:0005886"
"533","GRMZM2G438722","GO:0005768"
"534","GRMZM2G438722","GO:0005509"
"535","GRMZM2G432075","GO:0006306"
"536","GRMZM2G432075","GO:0005515"
"537","GRMZM2G432075","GO:0035197"
"538","GRMZM2G432075","GO:0006342"
"539","GRMZM2G015355","GO:0015979"
"540","GRMZM2G174943","GO:0016758"
"541","GRMZM2G174949","GO:0005543"
"542","GRMZM2G174949","GO:0005515"
"543","GRMZM2G043254","GO:0016021"
"544","GRMZM2G308687","GO:0004364"
"545","GRMZM2G308687","GO:0048046"
"546","GRMZM2G308687","GO:0046686"
